serial_no,frame_no,timestamp,object_class,class_id,track_id,confidence,x1,y1,x2,y2
313,299,9.967,bottle,39,70,0.5143,850.62,732.49,923.41,860.01
314,299,9.967,person,0,41,0.7457,0.0,827.26,699.84,1406.43
315,299,9.967,person,0,77,0.3802,891.19,771.65,1408.0,1406.41
316,300,10.0,bottle,39,70,0.6031,847.92,735.09,920.82,863.21
317,300,10.0,person,0,41,0.726,0.0,828.83,692.14,1406.46
318,300,10.0,person,0,77,0.3692,891.62,788.37,1407.16,1406.44
319,301,10.033,bottle,39,70,0.5386,847.29,734.8,920.28,863.37
320,301,10.033,person,0,41,0.5594,0.0,826.57,686.23,1405.09
321,302,10.067,bottle,39,70,0.5332,848.45,735.86,921.35,864.43
322,302,10.067,person,0,41,0.729,0.0,824.31,682.11,1405.67
323,303,10.1,dog,16,41,0.5408,0.0,823.68,680.6,1405.23
324,304,10.133,dog,16,41,0.437,0.0,820.94,681.39,1404.73
325,304,10.133,person,0,77,0.3696,853.1,757.05,1398.67,1407.91
326,305,10.167,dog,16,41,0.375,0.0,826.49,651.96,1406.28
327,305,10.167,person,0,77,0.4672,855.42,744.56,1408.0,1408.0
328,306,10.2,person,0,77,0.4914,856.39,739.41,1408.0,1408.0
329,306,10.2,bottle,39,89,0.4257,878.22,737.9,952.95,867.46
330,307,10.233,person,0,77,0.4179,864.18,754.03,1408.0,1408.0
331,307,10.233,bottle,39,89,0.3979,886.23,739.06,960.54,867.88
332,307,10.233,person,0,41,0.4315,0.0,831.62,669.58,1404.34
333,308,10.267,person,0,77,0.4634,869.61,745.4,1408.0,1408.0
334,308,10.267,bottle,39,89,0.4694,896.82,738.63,972.0,868.94
335,308,10.267,person,0,41,0.369,0.09,829.58,677.91,1404.41
336,309,10.3,person,0,77,0.5063,867.76,740.35,1408.0,1407.89
337,309,10.3,bottle,39,89,0.5124,907.28,737.24,982.11,866.87
338,309,10.3,person,0,41,0.4937,3.07,827.07,683.54,1403.31
339,309,10.3,bottle,39,85,0.3523,792.62,345.07,887.15,543.49
340,310,10.333,person,0,77,0.4573,874.7,743.61,1408.0,1407.74
341,310,10.333,bottle,39,89,0.4122,918.83,735.66,993.68,865.33
342,310,10.333,dog,16,41,0.4818,2.51,823.88,689.27,1405.06
343,311,10.367,person,0,77,0.4154,877.52,760.3,1408.0,1407.27
344,311,10.367,dog,16,41,0.5485,4.88,819.11,699.73,1405.96
345,312,10.4,person,0,77,0.3514,887.4,773.75,1407.58,1407.26
346,312,10.4,person,0,41,0.4488,0.0,817.95,687.82,1406.28
347,312,10.4,bottle,39,89,0.4207,938.07,732.48,1012.29,861.02
348,313,10.433,person,0,77,0.4292,883.09,761.12,1408.0,1407.38
349,313,10.433,person,0,41,0.6264,0.0,815.34,691.84,1406.29
350,313,10.433,bottle,39,89,0.4186,944.8,730.84,1017.35,856.1
351,314,10.467,person,0,77,0.6114,883.23,764.17,1408.0,1407.09
352,314,10.467,dog,16,41,0.6014,0.0,809.84,689.65,1406.72
353,315,10.5,person,0,77,0.5518,886.53,770.7,1407.62,1407.38
354,315,10.5,person,0,41,0.5803,0.0,820.46,682.54,1406.57
355,315,10.5,dog,16,91,0.5548,0.0,818.89,675.51,1406.82
356,315,10.5,bottle,39,89,0.3695,951.48,726.82,1025.8,855.31
357,316,10.533,person,0,77,0.4598,889.66,775.14,1407.26,1407.59
358,316,10.533,cup,41,92,0.3877,780.94,841.34,902.52,1011.94
359,316,10.533,bottle,39,89,0.3986,954.42,726.77,1028.94,855.92
360,317,10.567,cup,41,92,0.3894,783.73,841.67,905.23,1012.14
361,317,10.567,bottle,39,89,0.3606,958.32,727.3,1031.84,854.75
362,317,10.567,person,0,41,0.5574,3.35,835.56,673.87,1406.21
363,318,10.6,bottle,39,89,0.3533,959.78,725.85,1033.46,853.29
364,318,10.6,person,0,41,0.468,4.86,837.56,674.6,1406.47
365,318,10.6,person,0,77,0.4029,896.2,782.85,1407.45,1407.7
366,319,10.633,bottle,39,89,0.4597,959.46,722.15,1033.97,851.01
367,320,10.667,bottle,39,89,0.4145,958.31,718.64,1032.55,847.05
368,320,10.667,bottle,39,93,0.4082,564.8,324.25,701.24,543.33
369,320,10.667,cup,41,92,0.3792,787.75,835.07,906.67,1001.89
370,320,10.667,person,0,41,0.3634,0.0,751.57,746.64,1406.31
371,321,10.7,bottle,39,89,0.3549,956.16,713.94,1030.17,842.29
372,321,10.7,cup,41,92,0.4468,786.11,832.49,904.89,998.93
